recall,precision
0.9995394403028766,0.9680799588713823
0.9995316342063151,0.9680797175410344
0.9995316342063151,0.9680870367290157
0.9995238281097537,0.9680867954485314
0.9995160220131923,0.9680865541643985
0.9995082159166309,0.9680863128766171
0.9995004098200695,0.968086071585187
0.9995004098200695,0.9680933910979049
0.999492603723508,0.9680931498563435
0.9994847976269466,0.9680929086111342
0.9994769915303853,0.9680926673622767
0.9994691854338238,0.9680924261097711
0.9994613793372624,0.9680921848536173
0.9994535732407009,0.968091943593815
0.9994535732407009,0.9680992635383429
0.9994457671441396,0.9680990223284159
0.9994379610475782,0.9680987811148414
0.9994379610475782,0.968106101277117
0.9994301549510167,0.9681058601134216
0.9994223488544554,0.9681056189460789
0.9994145427578939,0.9681053777750892
0.9994067366613325,0.9681051366004522
0.9993989305647711,0.9681048954221678
0.9993911244682097,0.968104654240236
0.9993911244682097,0.968111974834397
0.9993833183716483,0.9681117337023509
0.9993755122750868,0.9681114925666581
0.9993677061785254,0.9681112514273184
0.999359900081964,0.9681110102843316
0.999359900081964,0.9681183312033516
0.999359900081964,0.9681256522330949
0.9993520939854026,0.9681254111935389
0.9993442878888412,0.9681251701503373
0.9993364817922797,0.96812492910349
0.9993286756957184,0.968124688052997
0.9993208695991569,0.968124446998858
0.9993130635025955,0.9681242059410733
0.9993130635025955,0.9681315274028026
0.9993052574060342,0.968131286394918
0.9993052574060342,0.9681386080209334
0.9992974513094727,0.9681383670629519
0.9992896452129113,0.9681381261013258
0.9992818391163498,0.9681378851360549
0.9992818391163498,0.9681452070334657
0.9992740330197885,0.9681449661181026
0.9992662269232271,0.9681447251990954
0.9992584208266656,0.9681444842764442
0.9992506147301042,0.9681442433501486
0.9992428086335428,0.9681440024202087
0.9992428086335428,0.9681513246961481
0.9992350025369814,0.9681510838161218
0.99922719644042,0.9681508429324519
0.99922719644042,0.9681581654262722
0.9992193903438585,0.9681579245925198
0.9992193903438585,0.9681652472506693
0.9992115842472972,0.9681650064668376
0.9992037781507357,0.9681647656793635
0.9992037781507357,0.9681720885554153
0.9991959720541743,0.9681718478178655
0.999188165957613,0.968171607076674
0.9991803598610515,0.9681713663318408
0.9991725537644901,0.9681711255833655
0.9991647476679286,0.9681708848312482
0.9991647476679286,0.9681782080859271
0.9991569415713673,0.9681779673837403
0.9991569415713673,0.9681852908027806
0.9991491354748058,0.9681850501505272
0.9991491354748058,0.9681923737339354
0.9991413293782444,0.9681921331316188
0.999133523281683,0.9681918925256621
0.9991257171851216,0.9681916519160653
0.9991179110885602,0.9681914113028284
0.9991179110885602,0.9681987352113528
0.9991179110885602,0.9682060592306819
0.9991101049919987,0.9682058187209707
0.9991101049919987,0.9682131429046924
0.9991022988954373,0.9682129024449286
0.999094492798876,0.9682126619815268
0.9990866867023145,0.9682124215144867
0.9990788806057531,0.9682121810438085
0.9990710745091916,0.9682119405694919
0.9990710745091916,0.9682192651319721
0.9990632684126303,0.968219024707609
0.9990554623160689,0.9682187842796082
0.9990476562195074,0.9682185438479695
0.999039850122946,0.968218303412693
0.9990320440263846,0.9682180629737785
0.9990242379298232,0.9682178225312261
0.9990164318332618,0.9682175820850356
0.9990164318332618,0.9682249071335084
0.9990086257367004,0.9682246667372785
0.999000819640139,0.9682244263374112
0.999000819640139,0.968231751603922
0.9989930135435775,0.9682315112540193
0.9989852074470161,0.9682312709004797
0.9989774013504547,0.9682310305433031
0.9989774013504547,0.9682383560814696
0.9989695952538933,0.9682381157742621
0.9989617891573319,0.9682378754634183
0.9989617891573319,0.9682452012196506
0.9989617891573319,0.9682525270867381
0.9989539830607704,0.9682522868794783
0.9989461769642091,0.9682520466685834
0.9989383708676476,0.9682518064540536
0.9989305647710862,0.9682515662358887
0.9989227586745248,0.9682513260140887
0.9989149525779634,0.9682510857886533
0.9989149525779634,0.9682584120882862
0.998907146481402,0.9682581719128329
0.998907146481402,0.9682654983769551
0.9988993403848405,0.9682652582514869
0.9988915342882791,0.9682650181223847
0.9988915342882791,0.9682723448046249
0.9988837281917178,0.9682721047255117
0.9988759220951563,0.9682718646427653
0.9988681159985949,0.9682716245563854
0.9988603099020334,0.9682713844663721
0.9988525038054721,0.9682711443727251
0.9988446977089107,0.9682709042754446
0.9988368916123492,0.9682706641745302
0.9988290855157879,0.9682704240699821
0.9988212794192264,0.9682701839618001
0.998813473322665,0.9682699438499841
0.9988056672261035,0.968269703734534
0.9987978611295422,0.9682694636154499
0.9987978611295422,0.9682767910521178
